STATION_ID,INTERVAL,MISSING TEMPERATURE FILLED USING,MISSING PM FILLED USING,MISSING POLLUTANTS FILLED USING,MISSING MET PARAMS FILLED USING,EXTRA FEATURES ADDED,LAG FOR POLLUTANTS,LAG FOR TARGET,TARGET,STANDARDIZATION,SPLIT_PERC,MODEL,MSE,MAE,RMSE,MAPE,R2
33,30 minutes,Don't fill (Drop NA),Don't fill (Drop NA),Don't fill (Drop NA),Don't fill (Drop NA),[],0,1,PM 2.5,Standard Scaling,25,SGD Regression,438.2672490364741,13.156627325977583,20.934833389269524,24.942980151539885,0.9379806325893245
33,30 minutes,Wunderground data,Don't fill (Drop NA),Don't fill (Drop NA),Use Wunderground Values,[],0,1,PM 2.5,Standard Scaling,25,SGD Regression,1.8381291448950637,2621632558.7188835,4287340836.573486,5452315832.33596,2712619085505533.5
33,30 minutes,Wunderground data,Don't fill (Drop NA),Don't fill (Drop NA),Use Wunderground Values,[],0,1,PM 2.5,Standard Scaling,25,SGD Regression,6.249508829506604,92568849.28747325,2499901763.971257,160152322.14871874,922271265489495.6
33,30 minutes,Wunderground data,Previous Avg Values,Previous Avg Values,Previous Avg Values,"['PM2_yest', 'PM2_last_yest', 'all_pollutants']",1,1,PM 2.5,No Standardization,25,Random Forest,456.1949938719852,12.641979591836735,21.358721728417766,33.304505838846374,0.9473742144291291
33,30 minutes,Wunderground data,Previous Avg Values,Previous Avg Values,Use Wunderground Values,"['PM2_yest', 'PM2_week', 'PM2_month', 'PM2_last_week', 'PM2_last_month']",0,1,PM 2.5,No Standardization,25,Random Forest,465.66643048584535,12.11463579564304,21.57930560712845,40.02786918475331,0.9524537596420918
33,30 minutes,Wunderground data,Previous Avg Values,Previous Avg Values,Use Wunderground Values,"['PM2_yest', 'PM2_week', 'PM2_month', 'PM2_last_week', 'PM2_last_month']",0,2,PM 2.5,Standard Scaling,25,Ada Boost,443.6245686824063,11.580484905451732,21.062397030784656,41.21627947471458,0.9547043140961646
33,30 minutes,Wunderground data,Previous Avg Values,Previous Avg Values,Use Wunderground Values,"['PM2_yest', 'PM2_week', 'PM2_month', 'PM2_last_week', 'PM2_last_month']",0,5,PM 10,No Standardization,20,XGBoost,876.2531971864994,17.52533967863001,29.601574234937225,10.443732665803875,0.9650847206983714
33,30 minutes,Wunderground data,Previous Avg Values,Previous Avg Values,Use Wunderground Values,"['PM10_yest', 'PM10_week', 'PM10_month', 'PM2_yest', 'PM2_week', 'PM2_month', 'PM10_last_week', 'PM10_last_month', 'PM2_last_week', 'all_pollutants']",1,1,PM 10,No Standardization,20,Random Forest,1412.1295396686764,21.354010978133715,37.57831209179939,14.091664084923025,0.9475870451360578
33,30 minutes,Wunderground data,Don't fill (Drop NA),Don't fill (Drop NA),Don't fill (Drop NA),['all_pollutants'],2,2,PM 2.5,Standard Scaling,20,SGD Regression,425.81462214617966,13.444303581343075,20.635276158708894,25.63335438464766,0.9379585720222431
33,30 minutes,Wunderground data,3 Nearest Stations,3 Nearest Stations,Use Wunderground Values,['all_pollutants'],5,2,PM 10,No Standardization,20,Random Forest,1430.7086945161286,20.25340133207961,37.82471010485247,11.912745288309306,0.9396546830597621
21,30 minutes,Don't fill (Drop NA),Don't fill (Drop NA),Don't fill (Drop NA),Don't fill (Drop NA),[],0,1,PM 10,No Standardization,20,Random Forest,1054.0298049548317,18.788707911305774,32.465825185182524,10.561719593146151,0.9172870391590529
21,30 minutes,Wunderground data,Don't fill (Drop NA),Don't fill (Drop NA),Don't fill (Drop NA),['all_pollutants'],1,1,PM 2.5,No Standardization,20,Random Forest,260.86493541744665,9.25576563084987,16.151313736580274,17.437659033171553,0.9621860786792846
21,30 minutes,Wunderground data,Previous Avg Values,Previous Avg Values,Don't fill (Drop NA),['all_pollutants'],1,1,PM 2.5,No Standardization,20,Random Forest,425.85444721223024,10.900350027670173,20.636241111506482,25.350486100471908,0.9459380124629211
